"Assignment","Reference","Business Area","Posting key","Customer","Branch","Reason code","Text","Document Number","Clrng doc.","Company Code","Profit Center","G/L","User Name","Document Type","Payt Terms","Fiscal Year","Cred.Contr.Area","Doc.Header Text","Document Date","Net due date","Amt in loc.cur.","Clearing","Curr.cash disc.","Discount amount","Local Currency","Entered on","Currency","Amount in DC","Posting Date","Payment date","Disc. Percent 1","Days 1","Days 2","Line item"
"90992093","90992093","BP41","11","0000000304","0000012723","","BD/0902/00002706/                    /0060079660","2700024436","","1100","0000000141","0003000010","SGRELL","RV","1059","2011","IP01","","06/27/2011","06/28/2011","-163.66","00/00/0000","0.00","0.00","USD","06/28/2011","USD","-163.66","06/27/2011","06/28/2011","1.000","30","31","001"
"90998873","90998873","BP41","11","0000000304","0000012723","","BD/0902/00002706/                    /0060080136","2700028755","","1100","0000000141","0003000010","SGRELL","RV","1059","2011","IP01","","07/29/2011","08/01/2011","-36.37","00/00/0000","0.00","0.00","USD","08/01/2011","USD","-36.37","07/29/2011","08/01/2011","1.000","30","31","001"
"91005443","91005443","BP41","01","0000000304","0000401885","","BD/0902/00000000/0141A61013/2141A6101/0070045239","2700032930","","1100","0000000141","0003000010","SGRELL","RV","0021","2011","IP01","","08/31/2011","09/30/2011","4693.02","00/00/0000","0.00","0.00","USD","08/31/2011","USD","4693.02","08/31/2011","09/30/2011","0.000","30","0","001"
"91005453","91005453","BP41","01","0000000304","0000401885","","BD/0902/00000000/00141A0080          /0070045240","2700032932","","1100","0000000141","0003000010","SGRELL","RV","0021","2011","IP01","","08/31/2011","09/30/2011","996.08","00/00/0000","0.00","0.00","USD","08/31/2011","USD","996.08","08/31/2011","09/30/2011","0.000","30","0","001"
"91007423","91007423","BP41","01","0000000304","0000012723","","BD/0902/00000000/0141A61015/2141A6101/0070045307","2700034093","","1100","0000000141","0003000010","SGRELL","RV","0021","2011","IP01","","09/09/2011","10/09/2011","3186.28","00/00/0000","0.00","0.00","USD","09/09/2011","USD","3186.28","09/09/2011","10/09/2011","0.000","30","0","001"
"91007424","91007424","BP41","01","0000000304","","","BD/0902/00000000/0141A60988/2141A6098/0070045308","2700034094","","1100","0000000141","0003000010","SGRELL","RV","0021","2011","IP01","","09/09/2011","10/09/2011","3406.68","00/00/0000","0.00","0.00","USD","09/09/2011","USD","3406.68","09/09/2011","10/09/2011","0.000","30","0","001"
"91008043","91008043","BP43","01","0000000304","0000401670","","BD/0902/00000000/0143A61197          /0070045335","2700034516","","1100","0000000143","0003000010","YOKIEM","RV","0021","2011","IP01","","09/13/2011","10/13/2011","864.00","00/00/0000","0.00","0.00","USD","09/13/2011","USD","864.00","09/13/2011","10/13/2011","0.000","30","0","001"
"91008945","91008945","BP43","01","0000000304","0000401670","","BD/0902/00000000/2143A61197          /0070045428","2700035065","","1100","0000000143","0003000010","YOKIEM","RV","0021","2011","IP01","","09/15/2011","10/16/2011","1427.48","00/00/0000","0.00","0.00","USD","09/16/2011","USD","1427.48","09/15/2011","10/16/2011","0.000","30","0","001"
"91014530","91014530","BP43","01","0000000304","0000401670","","BD/0902/00000000/00143A0035          /0070045672","2700038337","","1100","0000000143","0003000010","YOKIEM","RV","0021","2011","IP01","","10/10/2011","11/10/2011","744.40","00/00/0000","0.00","0.00","USD","10/11/2011","USD","744.40","10/10/2011","11/10/2011","0.000","30","0","001"
"91018816","91018816","BP43","01","0000000304","0000401670","","BD/0902/00002709/0143A61112          /0070045924","2700040853","","1100","0000000143","0003000010","YOKIEM","RV","0021","2011","IP01","","10/31/2011","11/30/2011","785.00","00/00/0000","0.00","0.00","USD","10/31/2011","USD","785.00","10/31/2011","11/30/2011","0.000","30","0","001"
"91023531","91023531","BP43","01","0000000304","0000401670","","BD/0902/00002709/0143A60971          /0070046075","2700043568","","1100","0000000143","0003000010","YOKIEM","RV","0021","2011","IP01","","11/18/2011","12/21/2011","1092.00","00/00/0000","0.00","0.00","USD","11/21/2011","USD","1092.00","11/18/2011","12/21/2011","0.000","30","0","001"
"91023533","91023533","BP43","01","0000000304","0000401670","","BD/0902/00002709/0143A61436          /0070046077","2700043570","","1100","0000000143","0003000010","YOKIEM","RV","0021","2011","IP01","","11/18/2011","12/21/2011","232.00","00/00/0000","0.00","0.00","USD","11/21/2011","USD","232.00","11/18/2011","12/21/2011","0.000","30","0","001"
"91023535","91023535","BP43","01","0000000304","0000401670","","BD/0902/00002709/2143A61436          /0070046079","2700043572","","1100","0000000143","0003000010","YOKIEM","RV","0021","2011","IP01","","11/18/2011","12/21/2011","930.97","00/00/0000","0.00","0.00","USD","11/21/2011","USD","930.97","11/18/2011","12/21/2011","0.000","30","0","001"
"91023547","91023547","BP43","01","0000000304","0000401670","","BD/0902/00002709/2143A61489          /0070046080","2700043577","","1100","0000000143","0003000010","YOKIEM","RV","0021","2011","IP01","","11/18/2011","12/21/2011","962.38","00/00/0000","0.00","0.00","USD","11/21/2011","USD","962.38","11/18/2011","12/21/2011","0.000","30","0","001"
"91023558","91023558","BP43","01","0000000304","0000401670","","BD/0902/00002709/0143A60634          /0070046076","2700043579","","1100","0000000143","0003000010","YOKIEM","RV","0021","2011","IP01","","11/18/2011","12/21/2011","540.00","00/00/0000","0.00","0.00","USD","11/21/2011","USD","540.00","11/18/2011","12/21/2011","0.000","30","0","001"
"91027299","91027299","BP41","01","0000000304","","","BD/0902/00002706/120911JR            /0080989418","2700045860","","1100","0000000141","0003000010","JRYAN","RV","1056","2011","IP01","B/L0080989418","12/08/2011","01/07/2012","38412.76","00/00/0000","0.00","0.00","USD","12/08/2011","USD","38412.76","12/08/2011","12/18/2011","1.000","10","30","001"
"91027930","91027930","BP41","01","0000000304","0000700251","","BD/0902/00002706/TM121211            /0080989436","2700046175","","1100","0000000141","0003000010","SGRELL","RV","1059","2011","IP01","B/L0080989436","12/12/2011","01/12/2012","34065.26","00/00/0000","0.00","0.00","USD","12/12/2011","USD","34065.26","12/12/2011","01/11/2012","1.000","30","31","001"
"91028157","91028157","BP41","01","0000000304","0000401900","","BD/0902/00002706/105985              /0080990810","2700046371","","1100","0000000141","0003000010","SGRELL","RV","1056","2011","IP01","B/L0080990810","12/13/2011","01/12/2012","33130.32","00/00/0000","0.00","0.00","USD","12/13/2011","USD","33130.32","12/13/2011","12/23/2011","1.000","10","30","001"
"91028490","91028490","BP43","01","0000000304","0000401670","","BD/0902/00002709/105854              /0080990311","2700046570","","1100","0000000143","0003000010","YOKIEM","RV","1056","2011","IP01","B/L0080990311","12/13/2011","01/13/2012","35418.16","00/00/0000","0.00","0.00","USD","12/14/2011","USD","35418.16","12/13/2011","12/24/2011","1.000","10","30","001"
"91029425","91029425","BP41","01","0000000304","0000700251","","BD/0902/00002706/TM121911            /0080990822","2700047057","","1100","0000000141","0003000010","SGRELL","RV","1059","2011","IP01","B/L0080990822","12/19/2011","01/19/2012","34013.40","00/00/0000","0.00","0.00","USD","12/19/2011","USD","34013.40","12/19/2011","01/18/2012","1.000","30","31","001"
"91029427","91029427","BP41","01","0000000304","0000401900","","BD/0902/00002706/106000              /0080991012","2700047059","","1100","0000000141","0003000010","SGRELL","RV","1056","2011","IP01","B/L0080991012","12/19/2011","01/18/2012","32731.23","00/00/0000","0.00","0.00","USD","12/19/2011","USD","32731.23","12/19/2011","12/29/2011","1.000","10","30","001"
"91029457","91029457","BP41","01","0000000304","","","BD/0902/00002706/121611JR            /0080990816","2700047067","","1100","0000000141","0003000010","JRYAN","RV","1056","2011","IP01","B/L0080990816","12/19/2011","01/18/2012","38663.21","00/00/0000","0.00","0.00","USD","12/19/2011","USD","38663.21","12/19/2011","12/29/2011","1.000","10","30","001"
"91029902","91029902","BP41","01","0000000304","0000012723","","BD/0902/00002706/JP2028              /0080990813","2700047521","","1100","0000000141","0003000010","SGRELL","RV","1056","2011","IP01","B/L0080990813","12/20/2011","01/19/2012","29790.80","00/00/0000","0.00","0.00","USD","12/20/2011","USD","29790.80","12/20/2011","12/30/2011","1.000","10","30","001"
"91030064","91030064","BP43","01","0000000304","0000401670","","BD/0902/00002709/105857              /0080991420","2700047653","","1100","0000000143","0003000010","MMORALE","RV","1056","2011","IP01","B/L0080991420","12/20/2011","01/20/2012","33789.10","00/00/0000","0.00","0.00","USD","12/21/2011","USD","33789.10","12/20/2011","12/31/2011","1.000","10","30","001"
"91030735","91030735","BP43","01","0000000304","0000012723","","BD/0902/00002706/JP2030              /0080990925","2700048110","","1100","0000000143","0003000010","YOKIEM","RV","1056","2011","IP01","B/L0080990925","12/22/2011","01/26/2012","2721.14","00/00/0000","0.00","0.00","USD","12/27/2011","USD","2721.14","12/22/2011","01/06/2012","1.000","10","30","001"
"91031138","91031138","BP41","01","0000000304","0000700251","","BD/0902/00002706/TM122811            /0080991122","2700048150","","1100","0000000141","0003000010","SGRELL","RV","1059","2011","IP01","B/L0080991122","12/28/2011","01/28/2012","34163.79","00/00/0000","0.00","0.00","USD","12/28/2011","USD","34163.79","12/28/2011","01/27/2012","1.000","30","31","001"
"91031141","91031141","BP41","01","0000000304","0000012723","","BD/0902/00002706/JP2029              /0080991123","2700048151","","1100","0000000141","0003000010","SGRELL","RV","1056","2011","IP01","B/L0080991123","12/28/2011","01/27/2012","30214.90","00/00/0000","0.00","0.00","USD","12/28/2011","USD","30214.90","12/28/2011","01/07/2012","1.000","10","30","001"
"91031154","91031154","BP43","01","0000000304","0000401670","","BD/0902/00002709/105863              /0080992773","2700048160","","1100","0000000143","0003000010","YOKIEM","RV","1056","2011","IP01","B/L0080992773","12/27/2011","01/27/2012","26541.52","00/00/0000","0.00","0.00","USD","12/28/2011","USD","26541.52","12/27/2011","01/07/2012","1.000","10","30","001"
